School,Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year,Net Price,Largest Program,IPEDS ID,OPE ID
Boise State,Boise State University,"1910 University Dr, Boise, Idaho 83725",https://www.boisestate.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,25504,22033,0.46,0.05,Fall 2012,"$12,558 ",-,142115,161600
Bowling Green,Bowling Green State University-Main Campus,"220 McFall Ctr, Bowling Green, Ohio 43403",www.bgsu.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Town: Fringe,Yes,17540,14858,0.56,0.28,Fall 2012,"$17,508 ",-,201441,301800
Buffalo,University at Buffalo,"12 Capen Hall, Buffalo, New York 14260-1660",www.buffalo.edu,"4-year, Public",One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,Yes,31503,21607,0.76,0.15,Fall 2012,"$15,895 ",-,196088,283700
Central Florida,University of Central Florida,"4000 Central Florida Blvd, Orlando, Florida 32816",www.ucf.edu/,"4-year, Public",Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,Yes,68475,58821,0.73,0.15,Fall 2012,"$13,016 ",-,132903,395400
Charlotte,University of North Carolina at Charlotte,"9201 University City Blvd, Charlotte, North Carolina 28223-0001",https://www.uncc.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,29710,24387,0.59,0.26,Fall 2012,"$14,987 ",-,199139,297500
Clemson,Clemson University,"201 Sikes Hall, Clemson, South Carolina 29634",www.clemson.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Suburb: Large,Yes,24951,19669,0.83,0.05,Fall 2012,"$19,508 ",-,217882,342500
Coastal Carolina,Coastal Carolina University,"103 Tom Trout Drive, Conway, South Carolina 29526",www.coastal.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,City: Small,Yes,10641,9917,0.44,0.42,Fall 2012,"$16,368 ",-,218724,345100
Colorado State,Colorado State University-Fort Collins,"102 Administration Building, Fort Collins, Colorado 80523-0100",colostate.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,33478,25962,0.71,0.08,Fall 2012,"$17,914 ",-,126818,135000
Colorado,University of Colorado Boulder,"Regent Drive at Broadway, Boulder, Colorado 80309-0017",www.colorado.edu,"4-year, Public",Bachelor's degree;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,36681,30159,0.71,0.18,Fall 2012,"$21,466 ",-,126614,137000
Connecticut,University of Connecticut,"352 Mansfield Road, Storrs, Connecticut 06269",uconn.edu/,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,Yes,27412,19133,0.85,0.08,Fall 2012,"$19,650 ",-,129020,141700
Duke,Duke University,"103 Allen Bldg, Durham, North Carolina 27708",WWW.DUKE.EDU,"4-year, Private not-for-profit",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,16606,6682,0.96,0,Fall 2012,"$19,785 ",-,198419,292000
East Carolina,East Carolina University,"East 5th Street, Greenville, North Carolina 27858-4353",www.ecu.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,28718,23071,0.65,0.25,Fall 2012,"$13,746 ",-,198464,292300
Eastern Michigan,Eastern Michigan University,"401 Pierce Hall, Ypsilanti, Michigan 48197",www.emich.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Suburb: Large,Yes,19123,16022,0.45,0,Fall 2012,"$15,687 ",-,169798,225900
Florida,University of Florida,"Tigert Hall, Gainesville, Florida 32611",www.ufl.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,52218,35491,0.9,0.03,Fall 2012,"$11,313 ",-,134130,153500
Florida Atlantic,Florida Atlantic University,"777 Glades Rd, Administration Bldg., Room 339, Boca Raton, Florida 33431-0991",www.fau.edu/,"4-year, Public",Less than one year certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,29772,24376,0.52,0.34,Fall 2012,"$9,486 ",-,133669,148100
Florida International,Florida International University,"11200 S. W. 8 Street, Miami, Florida 33199",www.fiu.edu,"4-year, Public",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,Yes,57942,48818,0.58,0.23,Fall 2012,"$9,180 ",-,133951,963500
Florida State,Florida State University,"222 S. Copeland Street, Tallahassee, Florida 32306-1037",www.fsu.edu,"4-year, Public",Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,41005,32472,0.83,0.06,Fall 2012,"$13,318 ",-,134097,148900
Georgia,University of Georgia,"Administration Building, Athens, Georgia 30602",www.uga.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,38652,29611,0.86,0.1,Fall 2012,"$15,539 ",-,139959,159800
Georgia Southern,Georgia Southern University,"1332 Southern Drive, Statesboro, Georgia 30460-8126",www.georgiasouthern.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Town: Distant,Yes,26408,23130,0.5,0.33,Fall 2012,"$15,435 ",-,139931,157200
Georgia State,Georgia State University,"33 gilmer st, Atlanta, Georgia 30303-3083",www.gsu.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,34316,27231,0.54,0.25,Fall 2012,"$14,501 ",-,139940,157400
Georgia Tech,Georgia Institute of Technology-Main Campus,"225 North Ave, Atlanta, Georgia 30332-0530",www.gatech.edu,"4-year, Public",Bachelor's degree;Master's degree;Doctor's degree - research/scholarship,City: Large,Yes,32723,16049,0.87,0.07,Fall 2012,"$16,950 ",-,139755,156900
Hawaii,University of Hawaii at Manoa,"2500 Campus Road, Honolulu, Hawaii 96822-2217",https://manoa.hawaii.edu/,"4-year, Public",One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,17710,12968,0.59,0,Fall 2012,"$15,712 ",-,141574,161000
Houston,University of Houston,"212 E. Cullen Building, Houston, Texas 77204-2018",www.uh.edu/,"4-year, Public",Bachelor's degree;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,46324,38348,0.59,0.11,Fall 2012,"$16,002 ",-,225511,365200
Illinois,University of Illinois at Chicago,"601 S Morgan, Chicago, Illinois 60607",www.uic.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,31683,20783,0.59,0,Fall 2012,"$12,248 ",-,145600,177600
Indiana,University of Indianapolis,"1400 E Hanna Ave, Indianapolis, Indiana 46227-3697",uindy.edu,"4-year, Private not-for-profit",Associate's degree;Bachelor's degree;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,5935,4508,0.6,0.3,Fall 2012,"$20,976 ",-,151263,180400
Iowa,University of Iowa,"101 Jessup Hall, Iowa City, Iowa 52242-1316",www.uiowa.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,31656,23989,0.73,0.2,Fall 2012,"$15,817 ",-,153658,189200
Iowa State,Iowa State University,"1750 Beardshear Hall, Ames, Iowa 50011-2103",www.iastate.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,34992,29621,0.75,0.18,Fall 2012,"$14,643 ",-,153603,186900
Kansas,University of Kansas,"Strong Hall, 1450 Jayhawk Blvd, Room 230, Lawrence, Kansas 66045",https://ku.edu,"4-year, Public",One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,27690,19596,0.65,0.26,Fall 2012,"$18,415 ",-,155317,194800
Kansas State,Kansas State University,"919 Mid-Campus Drive, Anderson Hall, Manhattan, Kansas 66506",www.k-state.edu,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,22221,17869,0.64,0,Fall 2012,"$18,002 ",-,155399,192800
Kent State,Kent State University at Kent,"Executive Office, 2nd Floor Library, Kent, Ohio 44242-0001",www.kent.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,Yes,28122,22557,0.6,0.05,Fall 2012,"$17,552 ",-,203517,305100
Liberty,Liberty University,"1971 University Blvd, Lynchburg, Virginia 24515",www.liberty.edu,"4-year, Private not-for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,79152,45935,0.5,0.17,Fall 2012,"$27,432 ",-,232557,2053000
Louisiana Tech,Louisiana Tech University,"1310 West Railroad Avenue, Ruston, Louisiana 71272",https://www.latech.edu,"4-year, Public",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Town: Distant,Yes,11909,10622,0.54,0.3,Fall 2012,"$9,795 ",-,159647,200800
Louisiana-Lafayette,University of Louisiana at Lafayette,"104 University Circle, Lafayette, Louisiana 70503",www.louisiana.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,17123,15073,0.48,0,Fall 2012,"$11,190 ",-,160658,203100
Louisiana-Monroe,University of Louisiana at Monroe,"700 University Avenue, Monroe, Louisiana 71209-0000",www.ulm.edu,"4-year, Public",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,9291,7788,0.44,0,Fall 2012,"$9,455 ",-,159993,202000
Louisville,University of Louisville,"2301 S 3rd St, Louisville, Kentucky 40292-0001",www.louisville.edu,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,21430,15641,0.57,0,Fall 2012,"$17,098 ",-,157289,199900
LSU,Louisiana State University-Shreveport,"One University Place, Shreveport, Louisiana 71115-2399",www.lsus.edu/,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,City: Midsize,No,7036,2511,0.33,0,Fall 2012,"$8,622 ",-,159416,201300
Marshall,Marshall University,"1 John Marshall Dr, Huntington, West Virginia 25755",https://www.marshall.edu/,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,13204,9593,0.46,0.29,Fall 2012,"$8,850 ",-,237525,381500
Maryland,"University of Maryland, Baltimore","620 West Lexington St, Baltimore, Maryland 21201-1627",www.umaryland.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,6777,909,0,0,Fall 2012,0,-,163259,210400
Massachusetts,University of Massachusetts-Boston,"100 Morrissey Boulevard, Boston, Massachusetts 02125-3393",www.umb.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,16164,12714,0.48,0.29,Fall 2012,"$12,412 ",-,166638,222200
Memphis,University of Memphis,"Southern Avenue, Memphis, Tennessee 38152",www.memphis.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,21458,17233,0.48,0.2,Fall 2012,"$13,174 ",-,220862,350900
Miami (Fla.),University of Miami,"University of Miami, Coral Gables, Florida 33146",www.miami.edu/,"4-year, Private not-for-profit",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,Yes,17331,11117,0.82,0,Fall 2012,"$43,305 ",-,135726,153600
Miami (Ohio),Miami University-Oxford,"501 East High St, Oxford, Ohio 45056",miamioh.edu,"4-year, Public",One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Town: Fringe,Yes,19934,17327,0.8,0,Fall 2012,"$20,542 ",-,204024,307700
Michigan,University of Michigan-Ann Arbor,"503 Thompson Street, Ann Arbor, Michigan 48109",https://umich.edu/,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,46716,30318,0.92,0,Fall 2012,"$16,856 ",-,170976,232500
Mississippi State,Michigan State University,"East Lansing, Michigan 48824-1046",https://www.msu.edu,"4-year, Public",One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,50351,39423,0.8,0.12,Fall 2012,"$16,227 ",-,171100,229000
Middle Tennessee,Middle Tennessee State University,"1301 East Main Street, Murfreesboro, Tennessee 37132",www.mtsu.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,City: Midsize,Yes,21631,19252,0.44,0.23,Fall 2012,"$12,294 ",-,220978,351000
Minnesota,University of Minnesota-Twin Cities,"100 Church Street SE, Minneapolis, Minnesota 55455-0213",https://twin-cities.umn.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,50734,34437,0.8,0.13,Fall 2012,"$16,691 ",-,174066,396900
Mississippi,University of Mississippi,"Oxford, Mississippi, University, Mississippi 38677-1848",www.olemiss.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Town: Remote,Yes,22456,18007,0.64,0,Fall 2012,"$14,459 ",-,176017,244000
Mississippi State,Mississippi State University,"Lee Boulevard, Mississippi State, Mississippi 39762",https://www.msstate.edu,"4-year, Public",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Town: Remote,Yes,21974,18490,0.58,0,Fall 2012,"$16,670 ",-,176080,242300
Missouri,University of Missouri-Columbia,"105 Jesse Hall, Columbia, Missouri 65211-1050",https://missouri.edu/,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,29843,22484,0.69,0,Fall 2012,"$17,833 ",-,178396,251600
Nebraska,University of Nebraska-Lincoln,"14th and R St, Lincoln, Nebraska 68588",www.unl.edu/,"4-year, Public",Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,25820,20830,0.69,0.09,Fall 2012,"$17,315 ",-,181464,256500
Nevada-Las Vegas,University of Nevada-Las Vegas,"4505 S Maryland Pky, Las Vegas, Nevada 89154",www.unlv.edu/,"4-year, Public",Less than one year certificate;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,30457,25282,0.43,0,Fall 2012,"$11,693 ",-,182281,256900
Nevada,University of Nevada-Reno,"North Virginia Street, Reno, Nevada 89557",www.unr.edu/,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,21463,17930,0.58,0,Fall 2012,"$15,723 ",-,182290,256800
New Mexico,University of New Mexico-Main Campus,"1700 Lomas Blvd NE, Albuquerque, New Mexico 87106",www.unm.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,24319,18621,0.5,0,Fall 2012,"$11,620 ",-,187985,266300
New Mexico State,New Mexico State University-Main Campus,"2850 Weddell Street, Las Cruces, New Mexico 88003-8001",www.nmsu.edu/,"4-year, Public",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Midsize,Yes,14289,11687,0.47,0,Fall 2012,"$9,462 ",-,188030,265700
North Carolina,University of North Carolina at Chapel Hill,"103 South Bldg Cb 9100, Chapel Hill, North Carolina 27599",www.unc.edu,"4-year, Public",One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,30011,19117,0.89,0.06,Fall 2012,"$11,649 ",-,199120,297400
North Carolina State,North Carolina State University at Raleigh,"2101 Hillsborough Street, Raleigh, North Carolina 27695-7001",www.ncsu.edu,"4-year, Public",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,35479,25199,0.81,0.12,Fall 2012,"$14,771 ",-,199193,297200
Texas,University of North Texas,"1501 W.Chestnut Ave., Denton, Texas 76203-1277",www.unt.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,38241,31375,0.53,0.24,Fall 2012,"$12,600 ",-,227216,359400
Northern Illinois,Northern Illinois University,"1425 W. Lincoln Hwy., Dekalb, Illinois 60115-2828",www.niu.edu,"4-year, Public",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Small,Yes,17169,12788,0.46,0,Fall 2012,"$22,686 ",-,147703,173700
Northwestern,Northwestern University,"633 Clark St, Evanston, Illinois 60208",www.northwestern.edu,"4-year, Private not-for-profit",One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,22127,8642,0.95,0,Fall 2012,"$27,540 ",-,147767,173900
Notre Dame,University of Notre Dame,"400 Main Building, Notre Dame, Indiana 46556",www.nd.edu,"4-year, Private not-for-profit",Bachelor's degree;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,Yes,12607,8617,0.97,0,Fall 2012,"$30,229 ",-,152080,184000
Ohio,Ohio University-Main Campus,"020 Chubb Hall, Athens, Ohio 45701-2979",https://www.ohio.edu,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Town: Distant,Yes,28480,22309,0.64,0.25,Fall 2012,"$22,072 ",-,204857,310000
Ohio State,Ohio State University-Main Campus,"190 N. Oval Mall, Columbus, Ohio 43210",www.osu.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,61170,46820,0.84,0.1,Fall 2012,"$18,694 ",-,204796,309000
Oklahoma State,Oklahoma State University-Main Campus,"107 Whitehurst, Stillwater, Oklahoma 74078-1015",www.okstate.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Town: Distant,Yes,24690,20597,0.61,0.16,Fall 2012,"$15,009 ",-,207388,317000
Oklahoma,University of Oklahoma-Norman Campus,"660 Parrington Oval, Norman, Oklahoma 73019-3072",www.ou.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Midsize,Yes,28564,22152,0.67,0,Fall 2012,"$21,158 ",-,207500,318400
Old Dominion,Old Dominion University,"5115 Hampton Blvd, Norfolk, Virginia 23529",www.odu.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,24176,19372,0.52,0.28,Fall 2012,"$15,917 ",-,232982,372800
Oregon,University of Oregon,"110 Johnson Hall, Eugene, Oregon 97403",https://www.uoregon.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,22644,19101,0.73,0.18,Fall 2012,"$15,939 ",-,209551,322300
Oregon State,Oregon State University,"1500 SW Jefferson Avenue, Corvallis, Oregon 97331",https://oregonstate.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,30986,25699,0.67,0.19,Fall 2012,"$18,625 ",-,209542,321000
Penn State,Pennsylvania State University-Main Campus,"201 Old Main, University Park, Pennsylvania 16802-1503",www.psu.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,46810,40363,0.85,0,Fall 2012,"$26,151 ",-,214777,332900
